股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),基本面打分,短线打分,长线打分,目标价,备注,是否持仓股
688256,寒武纪,芯片智造,AI算力芯片,训练芯片核心、技术标杆,-0.4426384152093399,250.38435018004446,70.0,37.5,69.1,1604.49,基本面70.0 | 短线37.5 | 中期69.1 | AI算力芯片、技术标杆、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.3%，盈利壁垒强；ROE 8.2%；营收同比159.6%；利润同比185.0% | 月涨幅分位22%；换手率2.24%；成交额196.2亿；价在MA20下方,
688521,芯原股份,芯片智造,AI算力芯片,AI芯片IP核心、国产替代,28.716988978997726,268.4523809523809,54.0,57.1,69.8,304.63,基本面54.0 | 短线57.1 | 中期69.8 | AI算力芯片、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率32.3%，盈利能力良好；ROE -10.4%偏低；营收同比114.5%；利润同比-54.7% | 月涨幅分位64%；换手率5.61%；成交额95.3亿；价在MA20上方,
688802,沐曦股份,芯片智造,AI算力芯片,算力芯片核心、技术突破,-4.266261237440505,,67.0,36.1,56.4,819.32,基本面67.0 | 短线36.1 | 中期56.4 | AI算力芯片、技术突破、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率60.1%，盈利壁垒强；ROE -0.8%偏低；营收同比75.4%；利润同比57.5% | 月涨幅分位17%；换手率10.99%；成交额15.3亿；价在MA20下方,
688041,海光信息,芯片智造,AI算力芯片,行业龙头、产能领先、国产替代,12.76372415240894,139.49617299546708,66.0,46.0,72.2,365.61,基本面66.0 | 短线46.0 | 中期72.2 | AI算力芯片、行业龙头、龙头、产能领先、国产替代；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.6%，盈利壁垒强；ROE 3.0%偏低；营收同比68.1%；利润同比35.8% | 月涨幅分位43%；换手率1.71%；成交额132.9亿；价在MA20上方,
688795,摩尔线程,芯片智造,AI算力芯片,算力芯片核心、国产GPU龙头,-3.9320206633225996,,68.0,28.8,28.7,685.6,基本面68.0 | 短线28.8 | 中期28.7 | AI算力芯片、龙头、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率67.4%，盈利壁垒强；ROE 0.3%偏低；营收同比155.3%；利润同比126.1% | 月涨幅分位18%；换手率10.21%；成交额20.4亿；价在MA20下方,
688047,龙芯中科,芯片智造,AI算力芯片,国产CPU龙头、技术自主,2.5624645088018205,20.952620123890853,56.0,30.8,34.7,144.72,基本面56.0 | 短线30.8 | 中期34.7 | AI算力芯片、龙头；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率34.9%，盈利能力良好；ROE -4.7%偏低；营收同比8.0%；利润同比24.7% | 月涨幅分位26%；换手率2.40%；成交额14.1亿；价在MA20上方,
300474,景嘉微,芯片智造,AI算力芯片、DSP芯片,推理芯片核心、国产DSP龙头、机构重仓,1.9417475728155331,-16.73746813933731,55.0,53.0,28.5,52.86,基本面55.0 | 短线53.0 | 中期28.5 | AI算力芯片、龙头、机构重仓、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率61.7%，盈利壁垒强；ROE -0.8%偏低；营收同比-17.9%；利润同比-2.3% | 月涨幅分位25%；换手率5.14%；成交额12.5亿；价在MA20上方,
688019,安集科技,芯片智造,CMP设备,抛光液龙头、产能领先,40.68991271063809,189.5571140359304,68.0,65.8,75.5,354.96,基本面68.0 | 短线65.8 | 中期75.5 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.5%，盈利壁垒强；ROE 5.7%；营收同比32.8%；利润同比23.0% | 月涨幅分位74%；换手率5.75%；成交额40.3亿；价在MA20上方,
300260,新莱应材,芯片智造,CMP设备,零部件核心、国产替代,73.45018450184502,220.96278593376582,48.0,72.4,80.9,102.32,基本面48.0 | 短线72.4 | 中期80.9 | CMP设备、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率22.2%，处于一般水平；ROE 2.4%偏低；营收同比14.1%；利润同比3.6% | 月涨幅分位93%；换手率9.03%；成交额25.1亿；价在MA20上方,
300054,鼎龙股份,芯片智造,CMP设备、韬定律,抛光垫龙头、产能领先、钨/氧抛光液,32.77872582480092,246.45640074211505,66.0,59.1,82.2,113.36,基本面66.0 | 短线59.1 | 中期82.2 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.9%，盈利壁垒强；ROE 4.7%偏低；营收同比23.8%；利润同比78.0% | 月涨幅分位67%；换手率7.91%；成交额55.6亿；价在MA20上方,
